Reel Number,Extracted Text
226,"If only there was a page that posts how
things are made in the world....

q he 2 os Ay
7a? oa” Cay"""
227,"If only there was a page that posts how
things are made in the world...."
228,"If only there was a page that posts how
things are made in the world...."
229,"If only there was a page that posts how
things are made in the world...."
23,"If there is a page dedicated to
how things are formed

Follow {©} @howthingsformed"
230,"If only there was a page that posts how
things are made in the world...."
231,"If only there was a page that posts how
things are made in the world...."
232,"If only there was a page that posts how
_things are made in the world...."
233,"If only there was a page that posts how
things are made in the world"
234,"If only there was a page that posts how
things are made in the world...."
235,"If only there was a page that posts how
things are made in the world...."
236,"If only there was a page that posts how
things are made in the world..."
237,"If only there was a page that posts how
things are made in the world....
. :"
238,"If only there was a page that posts how
things are made in the world....

| x]"
239,"If only there was a page that posts how
things are made in the world...
nm"""
24,"If there is a page dedicated to
how things are formed

ae

Follow (©) @howthingsformed"
240,"If only there was a page that posts how
things are made in the world...."
241,"If only there was a page that posts how
things are made in the world...."
242,"If only there was a page that posts how
things are made in the world..."
243,"If only there was a page that posts how
things are made in the world...

er year"
244,"If only there was a page that posts how
things are made in the world...."
245,"If only there was a page that posts how
things are made in the world...."
246,
247,"If only there was a page that posts how
things are made in the world...."
248,"If only there was a page that posts how
things are made in the world..."
249,"If only there was a page that posts how
things are made in the world."
25,"If there was a page dedicated to
how things are formed

Follow {©} @howthingsformed"
250,\\ 4
251,"ES
°
£
a
fH)
a
°
[oy
-
©
s
=
oO
Da
©
fo
©
a
©
s
oO
i
oO
f=
=
2
c
°
Pas

things are made in the world..."
252,"If only there was a page that posts how
things are made in the world....
sl | tt 5"
253,"If only there was a page that posts how
things are made in the world...."
254,"If only there was a page that posts how
things are made in the world"
255,"If only there was a page that posts how
things are made in the world....

i}"
256,"If only there was a page that posts how
things are made in the world...."
257,"If only there was a page that posts how
things are made in the world...."
258,"If only there was a page that posts how
things are made in the world...."
259,"If only there was a page that posts how
things are made in the world....
= Mla ]

7. anu"
26,"If there is a page dedicated to
how things are formed

4
Follow (©) @howthingsformed"
260,"If only there was a page that posts how
things are made in the world..."
261,"If only there was a page that posts how
things are made in the world...."
262,"If only there was a page that posts how
things are made in the world....

Sn Lea"
263,"If only there was a page that posts how
things are made in the world...
‘| 2

a, is. ASN"
264,"If only there was a page that posts how
things are made in the world...."
265,"If only there was a page that posts how
things are made in the world...."
266,"If only there was a page that posts how
things are made in the world...."
267,"If only there was a page that posts how
things are made in the world...."
268,"If only there was a page that posts how
things are made in the world...."
269,"If only there was a page that posts how
things are made in the world..."
27,
270,If only there was a page that posts how
271,
272,"If only there was a page that posts how
things are made in the world...."
273,
274,"If only there was a page that posts how
things are made in the world...."
275,"If only there was a page that posts how
things are made in the world...."
276,"If only there was a page that posts how
things are made in the world...."
277,"If only there was a page that posts how
things are made in the world..."
278,"If only there was a page that posts how
things are made in the world...."
279,"If only there was a page that posts how
things are made in the world..."
28,"If there is a page dedicated to
how things are formed

SSS — .
Follow (© @howthingsformed"
280,"If only there was a page that posts how
things are made in the world....

[|"
281,"If only there was a page that posts how
things are made in the world..."
282,"If only there was a page that posts how
things are made in the world..."
283,"reer cert a

3
°
és
an
f)
a
fe)
a
=
©
c=
z=
oO
fe)
©
Qa
©
a
©
s
oO
—_
oO
fs
=
2
=
°
ees

things are made in the world...."
284,"If only there was a page that posts how
things are made in the world...."
285,"If only there was a page that posts how
things are made in the world...."
286,"If only there was a page that posts how
things are made in the world...."
287,"If only there was a page that posts how
things are made in the world..."
288,"If only there was a page that posts how
things are made in the world...
' r ¢

— ra
}"
289,"If only there was a page that posts how
things are made in the world...."
29,"If there is a page dedicated to
how things are formed

Follow @ @howthingsformed"
290,"If only there was a page that posts how
things are made in the world...."
291,"If only there was a page that posts how
things are made in the world..."
292,"If only there was a page that posts how
things are made in the world...."
293,"If only there was a page that posts how
things are made in the world...."
294,"If only there was a page that posts how
things are made in the world...

te te te fl Py mw FE

- Hi i nt elt

Nid)

|
/ \"
295,"If only there was a page that posts how
things are made in the world...."
296,"If only there was a page that posts how
things are made in the world...
os"
297,"If only there was a page that posts how
things are made in the world..."
